date,wind,visibility,temp,usage
16-May-2015,11.78125,10,61.25,434816
17-May-2015,5.228571429,9.16,63.34285714,455124
18-May-2015,6.243902439,5.16097561,69.53658537,403223
19-May-2015,9.863636364,7.272727273,61.13636364,383544
20-May-2015,4.844444444,4.948888889,63.62222222,411637
21-May-2015,16.25,10,61.53125,419399
22-May-2015,6.3125,10,55.375,424349
23-May-2015,13.03125,10,65.59375,399016
24-May-2015,14.96875,10,58.03125,363464
25-May-2015,14.125,10,63.40625,318352
26-May-2015,12.46875,10,66.71875,284755
27-May-2015,12.84375,10,67.9375,367659
28-May-2015,13.66666667,9.794444444,66.25,395155
29-May-2015,7.243902439,8.273170732,66.29268293,411422
30-May-2015,7.515151515,10,70.27272727,419963
31-May-2015,11.97619048,8.361904762,68.4047619,429025
1-Jun-2015,8.21875,9.653125,82.40625,377464
2-Jun-2015,12.04761905,5.711904762,59.02380952,379365
3-Jun-2015,9.976744186,8.302325581,53.39534884,400671
4-Jun-2015,8.435897436,10,57.82051282,405120
5-Jun-2015,11.17647059,10,59.02941176,423164
6-Jun-2015,5.538461538,9.976923077,60.23076923,430366
7-Jun-2015,8.804878049,8.619512195,66.63414634,428911
8-Jun-2015,8.40625,10,63.8125,380823
9-Jun-2015,17.59375,9.971875,66.625,372383
10-Jun-2015,13.13513514,9.010810811,71.48648649,389787
11-Jun-2015,10.75,10,72.34375,403394
12-Jun-2015,9.78125,9.8125,75.625,418783
13-Jun-2015,10.28125,9.70625,77.59375,422237
14-Jun-2015,11,10,79.5,407854
15-Jun-2015,7.9375,9.809375,74.46875,362297
16-Jun-2015,7.592592593,7.27962963,71.16666667,356112
17-Jun-2015,6.263157895,8.392105263,70.13157895,381455
18-Jun-2015,10.06451613,10,72.22580645,405374
19-Jun-2015,8.195652174,9.956521739,66.95652174,409422
20-Jun-2015,6.484848485,10,76.45454545,416393
21-Jun-2015,9.756756757,8.581081081,70.13513514,392662
22-Jun-2015,14.24444444,8.46,77.64444444,347412
23-Jun-2015,11.34375,10,80.5625,355914
24-Jun-2015,10.44117647,9.867647059,79.67647059,386186
25-Jun-2015,11.34375,10,78.40625,391364
26-Jun-2015,9.125,10,74.4375,399236
27-Jun-2015,6.5625,10,73.71875,406192
28-Jun-2015,11.66666667,9.136111111,66.58333333,422356
29-Jun-2015,9.6,8.15,68.775,328880
30-Jun-2015,12.75,10,71.8125,341775
1-Jul-2015,23.4375,10,20.59375,492765
2-Jul-2015,14.5,9.342105263,76.81578947,371208
3-Jul-2015,5.4375,10,74.28125,344341
4-Jul-2015,8.34375,10,73.5625,287035
5-Jul-2015,5.84375,9.971875,73.125,238273
6-Jul-2015,9.8125,10,74.34375,259181
7-Jul-2015,7.647058824,9.738235294,75.44117647,295986
8-Jul-2015,11.22,6.708,78.3,344479
9-Jul-2015,7.4,9.2,79.62857143,374803
10-Jul-2015,8.054054054,9.408108108,73.86486486,387171
11-Jul-2015,10.62857143,9.942857143,77.62857143,380840
12-Jul-2015,7.1875,10,77.78125,386420
13-Jul-2015,8.696969697,10,78.48484848,345935
14-Jul-2015,7.1875,10,76.75,332263
15-Jul-2015,6.930232558,8.825581395,76.74418605,367214
16-Jul-2015,7.133333333,7.155555556,76.46666667,385821
17-Jul-2015,10.15625,10,71.9375,380578
18-Jul-2015,11.6875,10,73.03125,344133
19-Jul-2015,11.19444444,9.944444444,76.58333333,384771
20-Jul-2015,9.484848485,9.557575758,80.93939394,374998
21-Jul-2015,10.46875,9.9375,86.6875,355229
22-Jul-2015,9.03125,10,82.84375,356246
23-Jul-2015,13.78125,10,79.71875,373268
24-Jul-2015,9.96969697,10,78.60606061,384816
25-Jul-2015,7.9375,10,77.71875,384548
26-Jul-2015,7.9375,10,77.71875,366570
27-Jul-2015,13.46875,10,78.875,331928
28-Jul-2015,9.15625,10,78.25,331070
29-Jul-2015,8.78125,9.85,80.21875,365299
30-Jul-2015,10.03125,9.596875,84.34375,386704
31-Jul-2015,11.55813953,8.976744186,78.25581395,371668
1-Aug-2015,12.32352941,10,54.26470588,423788
2-Aug-2015,12.59375,10,82.28125,368799
3-Aug-2015,7.875,10,80.125,330211
4-Aug-2015,12.84375,10,79.21875,331438
5-Aug-2015,11.91428571,10,81.4,357708
6-Aug-2015,10.3030303,10,81.39393939,372955
7-Aug-2015,6.9375,10,76.3125,372411
8-Aug-2015,8.181818182,10,76.6969697,366639
9-Aug-2015,6.78125,10,74.84375,343992
10-Aug-2015,8.454545455,10,75.57575758,298950
11-Aug-2015,9.3125,10,75.46875,302131
12-Aug-2015,14.80952381,8.45,75.45238095,337996
13-Aug-2015,10.875,10,79.46875,351688
14-Aug-2015,7.6875,10,76.5,360460
15-Aug-2015,8.1875,10,76.96875,358585
16-Aug-2015,10.22580645,10,78.74193548,351422
17-Aug-2015,8,10,81.08333333,317654
18-Aug-2015,8.875,10,80.5625,317872
19-Aug-2015,11.75,10,79.78125,347662
