date,wind,visibility,temp,usage
23-Jul-2015,13.78125,10,79.71875,41377
24-Jul-2015,9.96969697,10,78.60606061,41050
25-Jul-2015,7.9375,10,77.71875,40216
26-Jul-2015,7.9375,10,77.71875,31539
27-Jul-2015,13.46875,10,78.875,29495
28-Jul-2015,9.15625,10,78.25,38621
29-Jul-2015,8.78125,9.85,80.21875,39270
30-Jul-2015,10.03125,9.596875,84.34375,38349
31-Jul-2015,11.55813953,8.976744186,78.25581395,30059
1-Aug-2015,12.32352941,10,54.26470588,28192
2-Aug-2015,12.59375,10,82.28125,35077
3-Aug-2015,7.875,10,80.125,31517
4-Aug-2015,12.84375,10,79.21875,37569
5-Aug-2015,11.91428571,10,81.4,39638
6-Aug-2015,10.3030303,10,81.39393939,40958
7-Aug-2015,6.9375,10,76.3125,41211
8-Aug-2015,8.181818182,10,76.6969697,39980
9-Aug-2015,6.78125,10,74.84375,37681
10-Aug-2015,8.454545455,10,75.57575758,31615
11-Aug-2015,9.3125,10,75.46875,38794
12-Aug-2015,14.80952381,8.45,75.45238095,24017
13-Aug-2015,10.875,10,79.46875,41797
14-Aug-2015,7.6875,10,76.5,41029
15-Aug-2015,8.1875,10,76.96875,38843
16-Aug-2015,10.22580645,10,78.74193548,36744
17-Aug-2015,8,10,81.08333333,30238
18-Aug-2015,8.875,10,80.5625,36432
19-Aug-2015,11.75,10,79.78125,38851
20-Aug-2015,10.5,10,80.07894737,39610
21-Aug-2015,13.17647059,10,80.88235294,38275
22-Aug-2015,9.170212766,8.712765957,77.87234043,36860
23-Aug-2015,9.03125,10,77.28125,34176
24-Aug-2015,5.685714286,10,75.74285714,31986
25-Aug-2015,7.625,10,77.71875,37607
26-Aug-2015,10.78787879,10,79.75757576,40522
27-Aug-2015,10.375,10,76.65625,41646
28-Aug-2015,9.34375,10,74.6875,42056
29-Aug-2015,6.625,10,73.46875,41649
30-Aug-2015,8.5,10,75.84375,33362
31-Aug-2015,9.625,10,77.53125,31866
1-Sep-2015,6.5,10,49.09375,30704
2-Sep-2015,7.03125,10,79.78125,42182
3-Sep-2015,8.575757576,8.703030303,78,43124
4-Sep-2015,5.161290323,9.635483871,80.80645161,41779
5-Sep-2015,10.88571429,9.857142857,77.77142857,38869
6-Sep-2015,7.272727273,10,71.48484848,32925
7-Sep-2015,6.6875,10,72.09375,32078
8-Sep-2015,11.65625,10,76.5625,33578
9-Sep-2015,12.75,10,80.3125,41754
10-Sep-2015,10.6744186,9.979069767,78.55813953,42729
11-Sep-2015,8.094339623,7.833962264,74.62264151,21108
12-Sep-2015,10.54285714,9.588571429,72.54285714,46564
13-Sep-2015,12.46341463,9.329268293,73.73170732,33539
14-Sep-2015,12.54545455,10,71.12121212,34671
15-Sep-2015,14.25,9.971875,68.59375,43561
16-Sep-2015,7.46875,10,71.78125,47509
17-Sep-2015,4.28125,9.921875,73.78125,49927
18-Sep-2015,6.0625,10,74.21875,49516
19-Sep-2015,6.96875,10,73.78125,49172
20-Sep-2015,8.575,7.37,72.85,42905
21-Sep-2015,13.83333333,10,72.36111111,39355
22-Sep-2015,10.625,10,65.71875,47072
23-Sep-2015,9.375,10,66.5,47590
24-Sep-2015,6.125,10,67.125,47161
25-Sep-2015,7.176470588,10,69.64705882,51406
26-Sep-2015,9.15625,10,67.9375,50200
27-Sep-2015,10.28125,10,65.125,42459
28-Sep-2015,7.529411765,10,63.55882353,37132
29-Sep-2015,6.175,7.965,68.6,47911
30-Sep-2015,7.2,7.642,74.06,47363
1-Oct-2015,9.03125,10,42.21875,29186
2-Oct-2015,14.62162162,10,58.81081081,33553
3-Oct-2015,18.94594595,6.972972973,51.89189189,9311
4-Oct-2015,19.61290323,8.64516129,53.67741935,15483
5-Oct-2015,15.77142857,10,58.45714286,29136
6-Oct-2015,12.35294118,10,58.47058824,44469
7-Oct-2015,5.8125,10,62.375,48573
8-Oct-2015,7.375,10,64.5,48918
9-Oct-2015,6.125,10,62.5625,48940
10-Oct-2015,12.15789474,9.634210526,66.57894737,36247
11-Oct-2015,9.90625,10,58.5,38245
12-Oct-2015,9.5625,10,59.1875,37892
13-Oct-2015,8.5625,10,62.90625,44267
14-Oct-2015,9.25,10,66.625,47985
15-Oct-2015,11.125,10,63.6875,48846
16-Oct-2015,11.25,10,58.65625,47691
17-Oct-2015,12.34375,10,59.5625,46382
18-Oct-2015,13.78125,10,51.46875,31689
19-Oct-2015,13.21875,10,44.0625,22839
20-Oct-2015,10.59375,10,44.9375,35457
21-Oct-2015,16.25,10,58.25,44373
22-Oct-2015,6.5625,10,60.96875,47988
23-Oct-2015,9.375,10,62.375,48447
24-Oct-2015,14.15625,10,56.46875,43660
25-Oct-2015,9.0625,10,50.625,31605
26-Oct-2015,14.68571429,9.885714286,60.6,28163
27-Oct-2015,6.875,10,51.4375,42063
28-Oct-2015,7.625,10,51,43365
29-Oct-2015,19.43902439,6.351219512,61.26829268,19647
30-Oct-2015,16.31428571,8.968571429,65.6,44224
31-Oct-2015,14,10,55.5625,43466
1-Nov-2015,10.1025641,9.58974359,70.30769231,19486
2-Nov-2015,12.12121212,10,58.90909091,29605
3-Nov-2015,5.0625,10,57.875,43305
4-Nov-2015,4.375,9.934375,57.53125,48224
5-Nov-2015,6.333333333,9.666666667,58.87878788,48409
6-Nov-2015,3.276595745,5.355319149,61.06382979,41852
7-Nov-2015,8.860465116,5.855813953,66.06976744,46097
8-Nov-2015,11.125,10,62.09375,34486
9-Nov-2015,10.21875,10,52.53125,32206
10-Nov-2015,3.375,10,50.78125,41098
11-Nov-2015,12.1025641,8.058974359,57,21474
12-Nov-2015,12.23255814,8.462790698,53.93023256,37590
13-Nov-2015,10.46341463,9.926829268,56.41463415,36193
14-Nov-2015,20.3125,10,55.25,37911
15-Nov-2015,17.625,10,47.125,25195
16-Nov-2015,12.84375,10,49.90625,24918
17-Nov-2015,9.125,10,56.5,39784
18-Nov-2015,8.1875,10,46.46875,37796
19-Nov-2015,11.42424242,10,53.81818182,41380
20-Nov-2015,19.17307692,7.146153846,61.38461538,20876
21-Nov-2015,12.72727273,9.303030303,56.42424242,37178
22-Nov-2015,10.46875,10,48.34375,27926
23-Nov-2015,13.06060606,10,52.09090909,23235
24-Nov-2015,15.34375,10,39.84375,29029
25-Nov-2015,7.15625,10,40.25,31057
26-Nov-2015,3.71875,10,41.96875,30191
27-Nov-2015,6.71875,9.9375,49.46875,13189
28-Nov-2015,5.121212121,9.045454545,53.48484848,21802
29-Nov-2015,8.621621622,10,52.86486486,14731
30-Nov-2015,11.4375,10,43,17360
1-Dec-2015,11.4375,10,81.40625,39115
2-Dec-2015,10.56097561,7.66097561,48.65853659,18270
3-Dec-2015,3.588235294,2.168627451,51.76470588,22723
4-Dec-2015,15.93548387,10,49.83870968,32826
5-Dec-2015,15.93548387,10,49.83870968,33538
6-Dec-2015,5.21875,10,44.5,26240
7-Dec-2015,6.46875,9.878125,45,23906
8-Dec-2015,7.4375,8.890625,47.5625,33096
9-Dec-2015,8.631578947,10,44.94736842,35509
10-Dec-2015,7.6,10,46.93333333,34115
11-Dec-2015,6.75,9.525,53.65625,37850
12-Dec-2015,6.047619048,5.795238095,51.92857143,37990
13-Dec-2015,4.5,9.115625,55.53125,30833
14-Dec-2015,6.875,9.128125,57.59375,31901
15-Dec-2015,10.17857143,3.026785714,56.55357143,31424
16-Dec-2015,18.23529412,8.738235294,59.35294118,37545
17-Dec-2015,8.717948718,9.635897436,49.66666667,34591
18-Dec-2015,9.113636364,7.320454545,55.90909091,20941
19-Dec-2015,13.5,10,48.25,29682
20-Dec-2015,20.09375,10,38.8125,16695
21-Dec-2015,11.5625,10,39.71875,15987
22-Dec-2015,11.8125,10,49,28688
23-Dec-2015,8.772727273,6.497727273,55.43181818,21857
24-Dec-2015,8.28,1.322,54.56,13767
25-Dec-2015,10.04651163,5.988372093,60.88372093,18345
26-Dec-2015,2.015384615,1.570769231,58.86153846,11272
27-Dec-2015,10.43243243,9.513513514,53.35135135,12845
28-Dec-2015,12.20930233,5.269767442,55.51162791,12140
29-Dec-2015,13.91666667,9.75,40.72222222,17770
30-Dec-2015,12.21052632,6.118421053,43.23684211,12300
31-Dec-2015,7,8.797674419,44.81395349,21360
